GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0019644	FBtr0076405	328.465	325.714	366.366	320.574	318.137	253.89	212.81	175.392	200.628	200.447	292.658	372.068
FBgn0035988	FBtr0076485	0.247	0.137	0.063	0.968	0.267	0.326	0.401	0.361	0.376	0.577	0.828	1.526
FBgn0030669	FBtr0074060	33	35.783	47.36	63.696	65.831	63.088	56.323	47.826	47.039	49.496	52.228	48.215
FBgn0030744	FBtr0074308	24.481	26.914	23.582	7.459	3.669	7.161	8.2	7.927	15.879	16.634	12.497	9.639
FBgn0031536	FBtr0077573	27.914	30.564	8.194	9.028	11.741	9.617	11.721	11.268	12.858	13.493	12.239	13.326
FBgn0031649	FBtr0077394	0.224	0.055	0.106	0.014	0.069	0.051	0.086	0.03	0.046	0.059	0.278	0.958
FBgn0037014	FBtr0078243	0.212	0.058	0.192	0.631	0.755	0.736	0.567	0.377	0.607	0.543	0.594	1.138
FBgn0000163	FBtr0074388	28.558	42.412	44.086	26.034	26.732	29.745	34.416	45.807	44.541	43.216	18.372	14.006
FBgn0030577	FBtr0073935	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0031343	FBtr0077939	0	0	0	0	0	0.038	0	0	0.04	0	0	0.141
FBgn0036093	FBtr0076258	0.081	0.056	0.076	0.36	0.026	0.197	0.095	0.189	0.222	0.054	0.205	0.053
FBgn0027621	FBtr0074716	3.062	1.431	0	0	0.46	0.148	0.061	0.003	0	0	0	0.056
FBgn0036117	FBtr0076242	54.07	60.028	76.985	35.742	22.82	9.049	5.37	7.292	11.378	13.777	17.794	19.807
FBgn0053127	FBtr0078052	2.64	0.826	1.805	0.251	0.81	0.364	0.883	0.397	0.562	0.315	2.783	6.966
FBgn0004611	FBtr0078048	0.015	0.381	0.058	0.067	0.033	0.086	0.144	0	0.16	0.194	0.297	0.174
FBgn0041097	FBtr0077921	1.078	0.338	0.784	0.223	0.505	0.313	1.038	0.42	0.744	1.161	7.769	18.937
FBgn0002778	FBtr0075626	0.479	0.425	1.781	0.316	0.124	0.96	0.012	2.61	3.364	3.605	0.039	5.773
FBgn0036514	FBtr0075564	74.011	83.852	98.365	58.242	50.658	43.496	41.714	45.852	46.797	45.478	30.77	27.611
FBgn0035640	FBtr0077113	262.458	276.138	283.15	179.322	164.058	157.731	116.921	86.275	64.08	49.504	25.853	21.321
FBgn0036373	FBtr0075810	35.237	43.228	10.477	26.611	30.291	24.555	22.99	19.918	15.809	16.618	13.431	17.588
FBgn0036529	FBtr0075578	0.616	0.179	0.455	0.164	0.181	0.419	0.726	0.386	0.724	0.796	1.766	3.318
FBgn0003744	FBtr0074922	85.327	79.226	6.046	10.071	10.629	17.148	23	27.527	28.28	25.925	19.188	15.627
FBgn0041096	FBtr0076053	0.052	0	0	0.636	0.323	0.755	1.325	4.515	10.181	10.512	2.843	1.857
FBgn0035978	FBtr0076500	69.015	78.879	24.997	1.36	1.372	0.783	0.421	0.114	0.796	3.089	3.419	7.002
FBgn0036945	FBtr0074820	18.308	4.842	20.787	5.564	5.202	5.668	13.101	6.619	22.867	69.132	136.118	191.397
FBgn0036896	FBtr0074965	1.538	2.12	3.044	4.879	4.072	9.501	16.23	21.472	15.235	13.992	6.381	4.043
FBgn0014343	FBtr0075912	0	0.027	0	0	0	0	0	0	0	0	0	0
FBgn0052024	FBtr0076580	0	0	0.073	0.032	0.133	0	0.153	0.077	0.159	0.163	0.055	0
FBgn0027335	FBtr0074616	7.525	10.439	2.952	1.682	1.033	3.216	3.487	2.186	3.183	1.669	3.228	4.888
FBgn0036165	FBtr0076093	81.21	85.514	44.519	29.894	32.046	53.527	80.265	135.658	168.591	167.958	128.395	106.865
FBgn0000639	FBtr0075749	0	0	0.002	0.001	0.003	0	0.001	0.001	0.002	0.001	0.002	0.003
FBgn0261283	FBtr0074873	0	0	0	0	0	0	0	0	0	0	0.148	0.115
FBgn0036707	FBtr0075214	0	0	0	0.025	0.012	0	0	0	0.017	0	0.047	0.634
FBgn0031184	FBtr0077369	3.888	4.055	2.489	3.391	2.971	3.014	3.741	3.234	1.908	1.408	0.94	1
FBgn0002526	FBtr0077014	8.961	4.118	9.296	36.129	37.297	65.084	135.663	265.134	293.944	403.262	251.302	254.651
